run_name,receiver_agent,receiver_model,lambda_fr,lambda_kd,kd_temperature,acc_global_after,acc_new_after,acc_expert_after,forgetting,source_file
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self3p0,2,vgg,0.35,0.6,4.0,26.04,28.026666666666667,20.08,44.239999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p3_t4p0_self4p0,2,vgg,0.3,0.3,4.0,26.04,27.373333333333335,22.04,42.279999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p3_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t3p0_self3p0,2,vgg,0.35,0.5,3.0,26.03,27.506666666666668,21.6,42.71999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t4p0_self3p0,2,vgg,0.3,0.4,4.0,26.02,27.8,20.68,43.63999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p4_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self2p5,2,vgg,0.4,0.6,4.0,26.01,28.0,20.04,44.279999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t4p0_self4p0,2,vgg,0.35,0.5,4.0,25.93,27.56,21.04,43.279999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self2p5,2,vgg,0.3,0.6,4.0,25.9,27.786666666666665,20.24,44.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t3p0_self2p5,2,vgg,0.4,0.6,3.0,25.9,27.586666666666666,20.84,43.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t3p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self3p0,2,vgg,0.25,0.6,3.0,25.84,27.706666666666667,20.24,44.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self30,2,vgg,0.2,0.6,3.0,25.81,27.48,20.8,43.519999999999996,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self2p5,2,vgg,0.25,0.5,4.0,25.79,27.586666666666666,20.4,43.919999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t4p0_self3p0,2,vgg,0.35,0.5,4.0,25.77,27.613333333333333,20.24,44.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p5_t4p0_self3p0/metrics/social_results.csv
