run_name,method,packet_method,init_mode,use_logits,use_generalist_logits,communication_mode,ipc,registry_source,num_agents,mean_ipc,mean_external_comm_images,mean_external_comm_logit_bytes,mean_external_comm_generalist_logit_bytes,mean_acc_global_before,mean_acc_expert_before,mean_acc_global_after,mean_acc_expert_after,mean_acc_new_after,mean_forgetting,mean_loss_cls,mean_loss_fr,mean_loss_kd,mean_loss_sender_kd,mean_loss_generalist_kd
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.4075,42.98,31.55,24.16,0.0596819,0.134381,0.170652,0.170652,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3_sched,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,35.0275,43.24,32.29,23.9,0.0486608,0.0715732,0.165855,0.165855,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t4,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.5975,43.31,31.6933,23.83,0.0581995,0.130785,0.186811,0.186811,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd070_t3,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.515,42.74,31.7733,24.4,0.0514635,0.119741,0.152459,0.152459,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.6825,44.22,30.17,22.92,0.0469024,0.0850751,0.126883,0.126883,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.0825,43.84,30.83,23.3,0.0655247,0.114795,0.125292,0.125292,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,34.02,44.06,30.6733,23.08,0.0531084,0.0772835,0.112772,0.112772,0
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.75,43.64,30.4533,23.5,0.0827735,0.105017,0.172112,0.172112,0
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep225_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.23,47.94,45.66,17.43,0.0503468,0.630691,0.105403,0.105403,0
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.23,48.21,45.57,17.16,0.0744106,0.631617,0.13977,0.13977,0
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.1475,48.45,45.38,16.92,0.066939,0.422047,0.119005,0.119005,0
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.1275,48.8,45.2367,16.57,0.0758998,0.484738,0.124107,0.124107,0
cifar100_4agent_25cls_refine_tuning_ipc10_ep060_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.905,44.25,30.4567,22.89,0.0646751,0.0971322,0.137922,0.137922,0
cifar100_4agent_25cls_refine_tuning_ipc10_ep090_fr020_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,10,pipeline_social_results,4,10,750,150000,0,16.785,67.14,33.4275,44.3,29.8033,22.84,0.0556559,0.0966384,0.125608,0.125608,0
cifar100_4agent_25cls_refine_tuning_ipc50_ep250_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.1825,48.39,45.4467,16.98,0.0572539,0.524075,0.124156,0.124156,0
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,45.9425,49.22,44.85,16.15,0.0577055,0.471554,0.131715,0.131715,0
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,46.035,48.41,45.2433,16.96,0.076449,0.508471,0.10486,0.10486,0
cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,DSDM_LOGIT,dsdm,expert,true,false,direct,50,pipeline_social_results,4,50,3750,750000,0,16.3425,65.37,45.9125,49.18,44.8233,16.19,0.065084,0.433748,0.112353,0.112353,0
cifar100_4agent_25cls_upper_bound,FULL_REAL,full_real,expert,false,,,10,pipeline_social_results,4,10,37500,0,,15.77,63.08,41.7375,45.19,40.5867,17.89,0.0421689,0.573107,0,,
legacy_cifar100_excel_summary,DSDM,dsdm,,,,,,legacy_excel_summary,4,,,,,,,25.86,36.75,22.23,,,,,,
legacy_cifar100_excel_summary,DSDM FROM NEW AGENT,dsdm from new agent,,,,,,legacy_excel_summary,4,,,,,,,21.575,25.03,20.4225,,,,,,
legacy_cifar100_excel_summary,DSDM+LOGITS,dsdm+logits,,,,,,legacy_excel_summary,4,,,,,,,27.9625,35.55,25.4333,,,,,,
legacy_cifar100_excel_summary,HEURISTIC_LOGIT,heuristic_logit,,,,,,legacy_excel_summary,4,,,,,,,30.2475,37.21,27.925,,,,,,
legacy_cifar100_excel_summary,IMPORTANCE_LOGIT,importance_logit,,,,,,legacy_excel_summary,4,,,,,,,18.29,32.91,13.4175,,,,,,
